power	voltage	current	rpm	windSpeed	pitchAngle	temperature	ambientPressure	humidity	accelerationX	accelerationY	accelerationZ	currentSink	timestamp
230.466	1623	142	2314	76	200	230	101300000	1000	0	0	-1	100	274972156
245.817	1719	143	2310	76	200	230	101300000	1000	0	0	-1	100	274984716
248.085	1665	149	2320	76	200	230	101300000	1000	0	0	-1	100	274997276
233.214	1654	141	2308	76	200	230	101300000	1000	0	0	-1	100	275009836
233.015	1607	145	2314	76	200	230	101300000	1000	0	0	-1	100	275022396
237.357	1593	149	2312	76	200	230	101300000	1000	0	0	-1	100	275034956
235.092	1644	143	2307	76	200	230	101300000	1000	0	0	-1	100	275047516
225.68	1612	140	2305	76	200	230	101300000	1000	0	0	-1	100	275060076
248.85	1659	150	2311	76	200	230	101300000	1000	0	0	-1	100	275072636
231.946	1622	143	2308	76	200	230	101300000	1000	0	0	-1	100	275085196
228.371	1597	143	2311	76	200	230	101300000	1000	0	0	-1	100	275097756
225.94	1580	143	2305	76	200	230	101300000	1000	0	0	-1	100	275110316
231.844	1556	149	2315	76	200	230	101300000	1000	0	0	-1	100	275122876
227.37	1590	143	2311	76	200	230	101300000	1000	0	0	-1	100	275135436
232.272	1613	144	2302	76	200	230	101300000	1000	0	0	-1	100	275147996
240.635	1615	149	2308	76	200	230	101300000	1000	0	0	-1	100	275160556
228.478	1609	142	2308	76	200	230	101300000	1000	0	0	-1	100	275173116
227.65	1570	145	2311	76	200	230	101300000	1000	0	0	-1	100	275185676
220.1	1550	142	2314	76	200	230	101300000	1000	0	0	-1	100	275198236
220.526	1553	142	2307	76	200	230	101300000	1000	0	0	-1	100	275210796
234.171	1593	147	2312	76	200	230	101300000	1000	0	0	-1	100	275223356
227.484	1602	142	2317	76	200	230	101300000	1000	0	0	-1	100	275235916
235.935	1605	147	2304	76	200	230	101300000	1000	0	0	-1	100	275248476
224.36	1580	142	2310	76	200	230	101300000	1000	0	0	-1	100	275261036
225.6	1600	141	2305	76	200	230	101300000	1000	0	0	-1	100	275273596
241.984	1592	152	2314	76	200	230	101300000	1000	0	0	-1	100	275286156
232.947	1629	143	2310	76	200	230	101300000	1000	0	0	-1	100	275298716
236.004	1662	142	2308	76	200	230	101300000	1000	0	0	-1	100	275311276
245.979	1629	151	2305	76	200	230	101300000	1000	0	0	-1	100	275323836
231.034	1627	142	2320	76	200	230	101300000	1000	0	0	-1	100	275336396
228.42	1620	141	2305	76	200	230	101300000	1000	0	0	-1	100	275348956
233.334	1566	149	2320	76	200	230	101300000	1000	0	0	-1	100	275361516
245.808	1707	144	2301	76	200	230	101300000	1000	0	0	-1	100	275374076
230.516	1612	143	2315	76	200	230	101300000	1000	0	0	-1	100	275386636
244.461	1663	147	2305	76	200	230	101300000	1000	0	0	-1	100	275399196
235.807	1649	143	2308	76	200	230	101300000	1000	0	0	-1	100	275411756
227.64	1626	140	2310	76	200	230	101300000	1000	0	0	-1	100	275424316
229.515	1605	143	2314	76	200	230	101300000	1000	0	0	-1	100	275436876
237.552	1616	147	2304	76	200	230	101300000	1000	0	0	-1	100	275449436
233.874	1647	142	2315	76	200	230	101300000	1000	0	0	-1	100	275461996
228.62	1610	142	2307	76	200	230	101300000	1000	0	0	-1	100	275474556
224.754	1594	141	2304	76	200	230	101300000	1000	0	0	-1	100	275487116
236.466	1566	151	2301	76	200	230	101300000	1000	0	0	-1	100	275499676
225.654	1578	143	2312	76	200	230	101300000	1000	0	0	-1	100	275512236
219.52	1568	140	2299	76	200	230	101300000	1000	0	0	-1	100	275524796
231.855	1599	145	2312	76	200	230	101300000	1000	0	0	-1	100	275537356
229.086	1602	143	2302	76	200	230	101300000	1000	0	0	-1	100	275549916
227.768	1604	142	2311	76	200	230	101300000	1000	0	0	-1	100	275562476
232.887	1563	149	2311	76	200	230	101300000	1000	0	0	-1	100	275575036
221.078	1546	143	2296	76	200	230	101300000	1000	0	0	-1	100	275587596
225.922	1591	142	2305	76	200	230	101300000	1000	0	0	-1	100	275600156
242.1	1614	150	2312	76	200	230	101300000	1000	0	0	-1	100	275612716
229.372	1604	143	2311	76	200	230	101300000	1000	0	0	-1	100	275625276
277.296	1272	218	2159	76	200	230	101300000	1000	0	0	-1	150	288849796
293.706	1323	222	2167	76	200	230	101300000	1000	0	0	-1	150	288862356
281.005	1307	215	2151	76	200	230	101300000	1000	0	0	-1	150	288874916
297.696	1329	224	2159	76	200	230	101300000	1000	0	0	-1	150	288887476
